o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:creator,dcterms:description,dcterms:date,dcterms:type,dcterms:identifier,dcterms:language,dcterms:rights,dcterms:alternative,dcterms:isReplacedBy,dcterms:replaces,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:rightsHolder,bibo:authorList,bibo:cites,bibo:identifier,bibo:issn,bibo:pageEnd,bibo:pageStart,bibo:shortDescription,bibo:shortTitle,bibo:volume,foaf:gender,foaf:membershipClass,cidoc-crm:P7_took_place_at,cidoc-crm:P104_is_subject_to,cidoc-crm:P4_has_time-span,cidoc-crm:P53_has_former_or_current_location,cidoc-crm:P48_has_preferred_identifier,cidoc-crm:P108_has_produced,cidoc-crm:P152_has_parent,cidoc-crm:P107_has_current_or_former_member,cidoc-crm:P143_joined,cidoc-crm:P75_possesses,cidoc-crm:P14_carried_out_by,cidoc-crm:P12_occurred_in_the_presence_of,cidoc-crm:P104i_applies_to,cidoc-crm:P30_transferred_custody_of,cidoc-crm:P11_had_participant,cidoc-crm:P126_employed,cidoc-crm:P107i_is_current_or_former_member_of,cidoc-crm:P138_represents,cidoc-crm:P51_has_former_or_current_owner,cidoc-crm:P67_refers_to,cidoc-crm:P53i_is_former_or_current_location_of,cidoc-crm:P1_is_identified_by,cidoc-crm:P93i_was_taken_out_of_existence_by,cidoc-crm:P149_is_identified_by,cidoc-crm:P167_was_at,cidoc-crm:P29_custody_received_by,cidoc-crm:P19_was_intended_use_of,cidoc-crm:P139_has_alternative_form,cidoc-crm:P22_transferred_title_to,cidoc-crm:P131_is_identified_by,cidoc-crm:P102_has_title,cidoc-crm:P8_took_place_on_or_within,cidoc-crm:P8i_witnessed,cidoc-crm:P27i_was_origin_of,cidoc-crm:P7i_witnessed,cidoc-crm:P2_has_type,cidoc-crm:P50_has_current_keeper,cidoc-crm:P23_transferred_title_from,cidoc-crm:P129_is_about,cidoc-crm:P159_occupied,cidoc-crm:P69_has_association_with,cidoc-crm:P168_place_is_defined_by,cidoc-crm:P3_has_note,cidoc-crm:P82a_begin_of_the_begin,cidoc-crm:P82b_end_of_the_end,cidoc-crm:P167_was_within,cidoc-crm:P175i_starts_after_or_with_the_start_of,cidoc-crm:P184_ends_before_or_with_the_end_of
43917,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,32034a1b-9f99-4aad-8d30-06c973d75183,,,,,,,"https://en.wikipedia.org/wiki/Piombino Piombino (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3170674 Piombino",Piombino,,,,,,,,,,,,,,,,,,,,,,,Plumbini,,,,,,,,,,,,,,,,,,,,
43912,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,0c2c81c0-c6d4-446a-827e-62a9493b4591,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Platea de Squarciaficis",,,,,,,,,,,,,,,,,,,,,,,"Ianue in contracta nobilium de Squarzaficis | contrata et platea de Squarzaficis et de Marocellis",,,,26324,,,,,,,,,,,,,,,,
43903,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,e3ea6cec-5ed1-40e8-afea-2e761d3aa3fb,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Canneto",,,,,,,,,,,,,,,,,,,,,,,"Ianue in contracta Canete",,,,26314,,,,,,,,,,,,,,,,
43897,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Quinto al Mare (known just as Quinto in the late medieval and early modern period) was a commune approximately 8 km east of the city of Genoa. It had been under Genoese rule since the twelfth century.",,,36728214-3823-4c70-9719-f10ee05d1d88,,,,,,,"https://it.wikipedia.org/wiki/Quinto_al_Mare Quinto al Mare (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3169664 Quinto al Mare","Quinto al Mare",,,,,,,,,,,,,,,,,,,,,,,"de Quinto | di Quinto",,,,,,,,,,,,,,,,,,,,
43832,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,01f54e4c-a595-43ed-bde0-925496d8ecc5,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Platea Sancti Laurentii",,,,,,,,,,,,,,,,,,,,,,,"Ianue in contracta Sancti Laurentii | platea Sancti Laurentii",,,,26324,,,,,,,,,,,,,,,,
43822,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,2ab952fc-c40c-41fa-8314-f721003d43fe,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Platea Lunga",,,,,,,,,,,,,,,,,,,,,,,"Ianue in contracta platee Longe | contrata Plateaelongae",,,,37068,,,,,,,,,,,,,,,,
43807,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Aurigo was a commune in Imperia that was under control of the counts of Ventimiglia during the late medieval period.",,,903131aa-6267-482c-95cd-8cdd0aecc692,,,,,,,"https://it.wikipedia.org/wiki/Aurigo Aurigo (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/6536065 Aurigo",Aurigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43803,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"The Val Polcevera is a river valley west of the city of Genoa.",,,00965164-8292-4924-b027-b25e5926d251,,,,,,,"https://it.wikipedia.org/wiki/Val_Polcevera Val Polcevera (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3170402 Valle Polcevera","Valle Polcevera",,,,,,,,,,,,,,,,,,,,,,,"de Poncevera | de Pulcifera",,,,,,,,,,,,,,,,,,,,
43794,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"The village or neighbourhood of Fassolo was a region in the fifteenth century located outside the western walls of Genoa",,,4f7deec7-2749-45f4-9bea-ea1649ec3638,,,,,,,,,,,,,,,,,,,,,,,,Fassolo,,,,,,,,,,,,,,,,,,,,,,,"in villa Fassolli suburbiorum Ianue | Fassolo",,,,,,,,,,,,,,,,,,,,
43460,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,b0cc8d24-1800-4c92-b134-8d6087ae1ddf,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Murchiis",,,,,,,,,,,,,,,,,,,,,,,"Ianue... positam sub ripa in contracta de Murchiis | carrubeus Murchorum",,,,41296,,,,,,,,,,,,,,,,
43443,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,0d1f8738-05c3-45c0-ad91-d2e7aca51426,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Platea de Finamariis",,,,,,,,,,,,,,,,,,,,,,,"Ianue in platea de Finamariis",,,,26324,,,,,,,,,,,,,,,,
43273,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"carrubeus Clape Olei | contrata Clape Olei | in contracta Clape Olei",,,5b9d309f-ba8a-4a24-a1f1-4d5d3ad57f66,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Clapa Olei",,,,,,,,,,,,,,,,,,,,,,,,,,,26314,,,,,,,,,,,,,,,,
43240,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,66c9f758-960a-4064-88ab-39b1809f8d25,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Platea de Guastato",,,,,,,,,,,,,,,,,,,,,,,,,,,43239,,,,,,,,,,,,,,,,
43239,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,607c59c7-ff84-415b-8bfd-1cf9a1bfb174,,,,,,,,,,,,,,,,,,,,,,,,"The sub-district (conestagia) of Untoria",,,,,,,,,,,,,,,,,,,,,,,Unctorie,,,,40871,,,,,,,,,,,,,,,,
43217,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Parabiago is a commune in the province of Lombardia. In the late Middle Ages it was under the jurisdiction of the Republic of Milan.",,,5f89d435-34ff-43e2-b32d-f9183ae64775,,,,,,,"https://it.wikipedia.org/wiki/Parabiago Parabiago (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3171484 Parabiago",Parabiago,,,,,,,,,,,,,,,,,,,,,,,"de Parabiago",,,,26138,,,,,,,,,,,,,,,,
43181,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,8e425143-40c0-422e-9ab0-378efc2c2f31,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood of Carrubeo Feni",,,,,,,,,,,,,,,,,,,,,,,"Ianue in contracta Suxilie videlicet in carubeo nuncapato carubeus Feni | carrubeus Feni",,,,40422,,,,,,,,,,,,,,,,
42993,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,dda7cee5-5e07-4b5f-9d03-5cf264914aef,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Platea de Luxardis",,,,,,,,,,,,,,,,,,,,,,,"Ianue... posite iuxta platea de Luxardis",,,,40422,,,,,,,,,,,,,,,,
42941,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,e14f7dac-d966-4452-9d26-15f70607f690,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Platea de Cigallis",,,,,,,,,,,,,,,,,,,,,,,"Ianue... in platea nobilium de Cigallis | platea de Cigalis",,,,26324,,,,,,,,,,,,,,,,
42909,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Novara is a commune in the province of Piedmont.",,,22c7bb14-510c-4db3-bc23-bbdd4b4fb5ae,,,,,,,"https://en.wikipedia.org/wiki/Novara Novara (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3172189 Novara",Novara,,,,,,,,,,,,,,,,,,,,,,,"de Novaria",,,,,,,,,,,,,,,,,,,,
42819,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Bogliasco was a historical comune in the region of Liguria and was located about 11 kilometres southeast of Genoa.",,,48c8c1e5-c928-4a4e-aaf8-c874811a500f,,,,,,,"https://it.wikipedia.org/wiki/Bogliasco Bogliasco (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3181943 Bogliasco",Bogliasco,,,,,,,,,,,,,,,,,,,,,,,"de Boliasco",,,,,,,,,,,,,,,,,,,,
42811,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"The Marquisate of Incisa was a historical region located in southern Piedmont, approximately 90km north of Genoa, that existed between the twelfth and sixteenth centuries.",,,7f44c1d2-8428-4b42-8ad9-9dcb0deb3698,,,,,,,"https://it.wikipedia.org/wiki/Marchesato_di_Incisa Marchesato di Incisa (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/6542456 Incisa Scapaccino","Marchesato di Incisa",,,,,,,,,,,,,,,,,,,,,,,"Incisa | Ancisa",,,,,,,,,,,,,,,,,,,,
42809,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,de2438df-a01e-47bd-a826-0de884baefae,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Platea de Lecavellis",,,,,,,,,,,,,,,,,,,,,,,"Ianue in caminata domus habitacione dicti Simonis Lecavellum posite in Platea de Lecavellis | contrata Lechavelorum",,,,41504,,,,,,,,,,,,,,,,
42683,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,f3407391-9f74-4e27-ae67-38837fa1f182,,,,,,,"https://en.wikipedia.org/wiki/Pavia Pavia (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3171366 Pavia",Pavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42600,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,59af1461-63b9-4332-a842-4002f5b50f64,,,,,,,,,,,,,,,,,,,,,,,"http://www.geonames.org/8978814 Dezerega",Dezerega,,,,,,,,,,,,,,,,,,,,,,,"de Dezerega",,,,31031,,,,,,,,,,,,,,,,
42587,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,86071c52-c318-41b1-9cae-96b51e74bfb4,,,,,,,,,,,,,,,,,,,,,,,,"The sub-district (conestagia) of San Ambrogio",,,,,,,,,,,,,,,,,,,,,,,"Ianue in contracta Sancti Ambrosii | platea San Ambrosii",,,,26198,,,,,,,,,,,,,,,,
42563,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Ponzone was a commune in the region of Alessandria, in Piedmonte.",,,43305f6d-ae5a-474f-a79a-21e3f7498e38,,,,,,,"https://it.wikipedia.org/wiki/Ponzone Ponzone (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/6538212 Ponzone",Ponzone,,,,,,,,,,,,,,,,,,,,,,,"de Ponzono",,,,27583,,,,,,,,,,,,,,,,
42472,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Cigliano was a commune in the province of Piemonte.",,,76d470cc-46f8-410f-bff2-4d3746ef74f7,,,,,,,"https://it.wikipedia.org/wiki/Cigliano Cigliano (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3178709 Cigliano",Cigliano,,,,,,,,,,,,,,,,,,,,,,,"de Cicliano",,,,,,,,,,,,,,,,,,,,
42415,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Campeglio is a ""frazione"" within the commune of Castiglinone Chiavaresi in the province of Liguria. It was under the administration of the Republic of Genoa during the late medieval and early modern period.",,,29e88dea-bf88-4ac8-9716-01f20722b591,,,,,,,,,,,,,,,,,,,,,,,"http://www.geonames.org/8050917 Campegli",Campegli,,,,,,,,,,,,,,,,,,,,,,,"de Campelio",,,,31027,,,,,,,,,,,,,,,,
42373,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,b24545aa-2814-4d5c-9726-945be082bda3,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of the Doria albergo",,,,,,,,,,,,,,,,,,,,,,,"contrata illorum de Auria | carrubeus illorum de Auria | contracta nobilium de Auria | plateam nobilium de Auria",,,,38552,,,,,,,,,,,,,,,,
42333,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"The Val d'Aveto, or the Aveto Valley, is a region between the provinces of Liguria and Emilia-Romagna. It was under the control of the Malaspina and Fieschi families during the late Middle Ages.",,,4ce30026-ed42-4b39-b83a-2be0117a1d3c,,,,,,,"https://it.wikipedia.org/wiki/Val_d%27Aveto Val d'Aveto (Wikipedia)",,,,,,,,,,,,,,,,,"Val d'Aveto",,,,,,,,,,,,,,,,,,,,,,,"de Vedeveto | de Vadavanto | de Vadeveto",,,,,,,,,,,,,,,,,,,,
42283,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"de Insulabona",,,b726c39d-dc29-427e-bb5e-bb2c4ae6f7ce,,,,,,,https://it.wikipedia.org/wiki/Isolabona,,,,,,,,,,,,,,,,"http://www.geonames.org/6536073 Isolabona",Isolabona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42237,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Ianue sub Ripa Formagiariorum",,,ac6f9caf-5fee-48cc-98fd-3e2977025cb1,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of Ripa Formaiariorum",,,,,,,,,,,,,,,,,,,,,,,,,,,40722,,,,,,,,,,,"See Luciano Grossi Bianchi and Ennio Poleggi, “La città nelle fonti del secolo XV,” in Una città portuale del medioevo: Genova nei secoli X–XVI (Genova: SAGEP, 1987), p. 180.",,,,,
42158,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"The commune of Merate is located in Lombardia and was under the dominion of the republic of Milan in the late medieval and early modern periods.",,,f1f067ba-d556-4428-b9bc-c598105febc7,,,,,,,"https://it.wikipedia.org/wiki/Merate Merate (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3173576 Merate",Merate,,,,,,,,,,,,,,,,,,,,,,,"de Merate",,,,26138,,,,,,,,,,,,,,,,
42150,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Laganasco was a commune in Piedmonte under Milanese domination during the fifteenth century.",,,ead5f6af-a875-4a6d-af10-622093a7e11c,,,,,,,"https://it.wikipedia.org/wiki/Lagnasco Lagnasco (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/6543447 Lagnasco",Lagnasco,,,,,,,,,,,,,,,,,,,,,,,"de Lagnasco",,,,26138,,,,,,,,,,,,,,,,
42123,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,c5505e51-84f0-4e47-95fb-a86755cfba8b,,,,,,,,,,,,,,,,,,,,,,,,"The sub-district (conestagia) of Mascherana",,,,,,,,,,,,,,,,,,,,,,,,,,,26313,,,,,,,,,,,,,,,,
42115,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,90edf956-a9bd-452e-9a87-059ca40fac90,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of the church of San Giorgio",,,,,,,,,,,,,,,,,,,,,,,"Ianue in contracta ecclesie Sancti Georgii | platea Sancti Georgii",,,,31002,,,,,,,,,,,,,,,,
41990,Place,cidoc-crm:E48_Place_Name,steven.teasdale@alumni.utoronto.ca,true,,,"Sevastopol is a region in the Crimean Peninsula that contained the colonies of Cherson and Balaklava.",,,5468905d-421d-4207-bb50-c8e334627edb,,,,,,,"https://en.wikipedia.org/wiki/Sevastopol Sevastopol (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/11361458 Sevastopol",Sevastopol,,,,,,,,,,,,,,,,,,,,,,,Savastopoli,,,,31545,,,,,,,,,,,,,,,,
41960,Place,cidoc-crm:E48_Place_Name,steven.teasdale@alumni.utoronto.ca,true,,,"La Palma is one of the eight primary Canary Islands.",,,452cf645-df6b-48dd-9b74-cff39e7c7727,,,,,,,"https://en.wikipedia.org/wiki/La_Palma La Palma (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/2515680 La Palma Island","La Palma",,,,,,,,,,,,,,,,,,,,,,,"insula Parme",,,,31542,,,,,,,,,,,,,,,,
41958,Place,cidoc-crm:E48_Place_Name,steven.teasdale@alumni.utoronto.ca,true,,,"This is the island of Fuerteventura, part of the Canary Islands.",,,6e6fd98a-3a25-476d-894b-808b45780bc6,,,,,,,"https://en.wikipedia.org/wiki/Fuerteventura Fuerteventura (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/2517481 Fuerteventura",Fuerteventura,,,,,,,,,,,,,,,,,,,,,,,"insula Fortis venture",,,,31542,,,,,,,,,,,,,,,,
41956,Place,cidoc-crm:E48_Place_Name,steven.teasdale@alumni.utoronto.ca,true,,,"Puerto de Santa María was Spanish commune located in Andalusia and under the administration of the Crown of Castile during the late medieval and early modern periods.",,,a07e1fb9-97a4-4080-afe0-33272aaab764,,,,,,,"https://en.wikipedia.org/wiki/El_Puerto_de_Santa_Mar%C3%ADa Puerto de Santa María (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/2518207 El Puerto de Santa María","Puerto de Santa María",,,,,,,,,,,,,,,,,,,,,,,"Portus Sancte Marie",,,,26403,,,,,,,,,,,,,,,,
41933,Place,cidoc-crm:E48_Place_Name,steven.teasdale@alumni.utoronto.ca,true,,,,,,e3969000-c43c-4d15-b62b-64a698b8a4f3,,,,,,,,,,,,,,,,,,,,,,,,"The loggia of the laneriorum",,,,,,,,,,,,,,,,,,,,,,,"in logia laneriorum | logge dei lanieri",,,,41504,,,,,,,,,,,,,,,,
41886,Place,cidoc-crm:E48_Place_Name,steven.teasdale@alumni.utoronto.ca,true,,,"Oneglia is a commune in the province of Imperia which was under Genoese dominion in the late medieval and early modern era.",,,60f013df-10e3-42b3-bdd0-21e6fa29ae4e,,,,,,,"https://it.wikipedia.org/wiki/Oneglia Oneglia (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3172014 Oneglia",Oneglia,,,,,,,,,,,,,,,,,,,,,,,"valle Unelie",,,,,,,,,,,,,,,,,,,,
41864,Place,cidoc-crm:E48_Place_Name,steven.teasdale@alumni.utoronto.ca,true,,,"Bavari was a rural commune under Genoese administration since the Middle Ages.",,,b23cd3f5-e8e5-4ee2-b3ac-5f2ca64be631,,,,,,,"https://it.wikipedia.org/wiki/Bavari_(Genova) Bavari (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/7603230 Bavari",Bavari,,,,,,,,,,,,,,,,,,,,,,,,,,,41526,,,,,,,,,,,,,,,,
