o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:creator,dcterms:description,dcterms:date,dcterms:type,dcterms:identifier,dcterms:rights,dcterms:alternative,dcterms:isReplacedBy,dcterms:replaces,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:references,dcterms:rightsHolder,bibo:identifier,bibo:shortDescription,foaf:gender,foaf:membershipClass,cidoc-crm:P7_took_place_at,cidoc-crm:P104_is_subject_to,cidoc-crm:P4_has_time-span,cidoc-crm:P53_has_former_or_current_location,cidoc-crm:P48_has_preferred_identifier,cidoc-crm:P108_has_produced,cidoc-crm:P152_has_parent,cidoc-crm:P107_has_current_or_former_member,cidoc-crm:P143_joined,cidoc-crm:P14_carried_out_by,cidoc-crm:P30_transferred_custody_of,cidoc-crm:P11_had_participant,cidoc-crm:P126_employed,cidoc-crm:P107i_is_current_or_former_member_of,cidoc-crm:P138_represents,cidoc-crm:P51_has_former_or_current_owner,cidoc-crm:P67_refers_to,cidoc-crm:P149_is_identified_by,cidoc-crm:P167_was_at,cidoc-crm:P29_custody_received_by,cidoc-crm:P19_was_intended_use_of,cidoc-crm:P139_has_alternative_form,cidoc-crm:P22_transferred_title_to,cidoc-crm:P131_is_identified_by,cidoc-crm:P8_took_place_on_or_within,cidoc-crm:P27i_was_origin_of,cidoc-crm:P7i_witnessed,cidoc-crm:P2_has_type,cidoc-crm:P50_has_current_keeper,cidoc-crm:P23_transferred_title_from,cidoc-crm:P159_occupied,cidoc-crm:P69_has_association_with,cidoc-crm:P168_place_is_defined_by,cidoc-crm:P3_has_note
36132,Venditio,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Antonio Pastorino, filza 2, nr. 545",25450,,1487,"Venditio sclave",,,,,,,,,"Archivio di stato di Genova",cddd6e23-fc74-4eaa-9f5f-b709de4d6499,,,,,,,,,,,,,,35812,,,,,,,,,,,,27126,,,,,,,24349,,,,
31317,Procura,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Cristoforo de Revellino, register 8, 1395, fols. 101v–103v",25512,"A certain Moisia Cattaneo, the wife of the deceased Fabiano Lomellini, named Quilico Ricci as her procurator. The contract is made with the consent of her brothers Ambrogio and Tommaso Pinelli.",1395,Procura,,,,,,31327,,,"Archivio di stato di Genova",0b56874b-18a9-452d-b210-d58ef70ba4df,,,,,,,,,,,,,,25487,"31316 | 25492",,,,,,,,,,,31318,,,,,,,,,,,
27753,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,,,,,–1500,,"Argenta Centurione",,"23261 | 24641",,27754,,,,,,,,,3cc44bf6-7d05-454f-b437-8f13a1a9508c,,,,"Argenta Centurione Scotto",,"Argenta Centurione q. Lodisio",,,,,,,,,,
26458,Asecuratio,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Tommaso Duracino, filza 1, series I, nr. 100",23448,"A certain Franca (Franchetta) Lomellini, the widow of Riccardo Spinola, obtains insurance against the risk of death from childbirth from the underwriter Cattaneo Grimaldi for the enslaved Circassian Margherita, who is about 25 years of age and about 6 months pregnant, for the coverage of 150 Genoese lire.",1453-07-26,"Asecuratio sclave",,,,,,26211,,,"Archivio di stato di Genova",c2747b5c-9215-4085-b7ea-8f3b27ac795b,"The insurance is life insurance for an enslaved woman named Margherita.",,,26035,,,,,,,,,,31309,,,,,,,,,,,,24325,,"in bancis sub porticu domus Angeli de Nigro et fratris videlicet iuxta bancum resedencie mei notarii infrascripti",,"31310 | 31311",,,23662,,,,
26413,Asecuratio,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Tommaso Duracino, filza 1, series I, nr. 65",23448,"A certain Gabriele Cattaneo requests insurance against the risk of death from childbirth from the underwriter Cattaneo Grimaldi, for the enslaved Russian woman named Caterina, who is about 22 years of age and who has been pregnant for about 2 months, for coverage of 150 Genoese lire.",1453-06-08,"Asecuratio sclave",,,,,,26211,,,"Archivio di stato di Genova",ebd68493-71b6-46a1-b209-0e649102f647,,,,26082,,,,,,,,,,26424,,,,,,,,,,,,26423,,"in bancis sub porticu domus Angeli de Nigro et fratris videlicet ad bancum residencie mei notarii infrascripti",,"25464 | 26425",,,23662,,,,
26082,"Property (Real Estate)",cidoc-crm:E19_Physical_Object,steven.teasdale@alumni.utoronto.ca,true,"The house of the brothers Cattaneo and Carlo Lomellini",,,"1453-06-08 | 1453-08-13",,12056627-2da0-45d4-9baf-ff4fe3a05ab2,,"in bancis in quandam volta banci quam convenit Rafaele Salvagus bancherius portam subtus domum Catanei Lomelini et fratris",40704,,,,,,,,,,,,,26315,,,,,,,,,,,,"24202 | 24157",,,,,,,,,,,,House,,,,,,
26069,Venditio,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Tommaso Duracino, filza 1, series I, nr. 109",23448,"A certain Andreolo Doria sells the enslaved Circassian Maria, who is about 25 years old, to a certain Andrea Delfino for 170 lire.",1453-08-13,"Venditio sclave",,,,,,26211,,,"Archivio di stato di Genova",52842c10-545a-4e71-8374-80a283f973d9,,,,26082,,,,,,,,,,26081,26083,,,,,,,,,,,26080,,"in bancis in quandam volta banci quam convenit Rafaele Salvagus bancherius portam subtus domum Catanei Lomelini et fratris",,"26086 | 26088",,,26076,,,,
25771,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–,,"Pometta Spinola","24604 | 24830",25638,,24719,,,,,,,,,43c16887-63e0-42d2-ad06-ba7c79a140af,,,,,,"Pometta Spinola q. Cattaneo",,,,,,,,,,
25765,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Paolo Spinola",,25634,,24063,,,,,,,,,b26734bc-81fe-4ab8-8ea5-548fa509cac5,,,,,,"Paolo Spinola q. Cattaneo",,,,,,,,,,
25760,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1413,,"Ottobone Spinola","25666 | 25661",25635,,25063,,,,,,,,,fafb7ad6-c04b-437f-99d0-5f2e08963fbd,,,,"Ottobono Spinola",,"Ottobone Spinola q. Cattaneo",,,,,,,,,,
25698,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Giovanni Francesco Spinola",,25636,,25130,,,,,,,,,b6544bac-5e05-4cc7-a3fb-03ec43b3b707,,,,,,"Giovanni Francesco Spinola q. Cattaneo",,,,,,,,,,
25637,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1558,,"Cattaneo Spinola",,25699,,24064,,,,,,,,,9f023c66-bad5-4fb9-8487-78ababc5d07b,,,,,,"Cattaneo Spinola q. Giovanni Francesco",,,,,,,,,,
25492,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1408,,"Tommaso Pinelli",,25473,,24669,,,,,,,,,2f7c563c-3470-4ec7-8a9e-7a11cdb0bb31,,,,,,,,,,,,,,,,
25487,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1366–1393,,"Moisia Pinelli","24300 | 24203",25473,,24299,,,,,,,,,62d98c61-b3eb-42d8-b88b-fa15505da08a,,,,,,"Moisia Pinelli q. Cattaneo",,,,,,,,,,
25470,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1473–1498,,"Benedetto Pinelli",,25472,,24797,,,,,,,,,518c3e43-d212-433a-b726-9ac84850ab44,,,,,,"Benedetto Pinelli q. Cattaneo",,,,,,,,,,
25390,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1443,,"Maria Negrone",24230,25377,,"23232 | 24024",,,,,,,,,5de5c11d-ecfe-4aa7-97f8-568f23da0319,,,,,,"Maria Negrone q. Agostino",,,,,,,,,,
25370,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1498,,"Maria di Negro","24199 | 23890 | 24204 | 24346 | 24584",25374,,24494,,,,,,,,,8b96c638-79de-44a6-b0c6-cd3576b25630,,,,,,"Maria di Negro q. Oliverio di",,,,,,,,,,
25330,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1421–1457,,"Susanna de Marini","24440 | 24157 | 24202",25294,,25102,,,,,,,,,7e015b39-5bcd-4693-bf4c-c3d9ea2ccb32,,,,,,"Susanna de Marini q. Cattaneo de",,,,,,,,,,
25203,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,"nobiles | illegitimate",,,–1568,,"Vincenzo Lomellini","24894 | 24224",24556,,23203,,,,,,,,,bcfcf535-d30c-4d37-9fab-75e8cdb242c0,,,,,,"Vincenzo Lomellini q. Girolamo q. Niccolò",,,,,,,,,,
25197,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,"The sources indicate that Vassallo died without any children.",,,,,,,,,,,,,,male,nobiles,,,1450–1476,,"Vassallo Lomellini",,"24409 | 23218",,,,,,,,,,,fda5e30f-5cc2-4be1-8186-b16378885319,,,,,,"Vassallo Lomellini q. Giacomo q. Raffaele ",,,,,,,,,,"See Battilana, Lomellini, plate 7."
25149,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,"The sources indicate that Teramo died without producing any children.",,,,,,,,,,,,,,male,nobiles,,,1421–1460,,"Teramo Lomellini",,"24837 | 23211",,,,,,,,,,,73e6b294-1ca4-4687-9748-73790e29ffb0,,,,,,"Teramo Lomellini q. Martino q. Franco",,,,,,,,,,
25123,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1444–1446,,"Taddeo Lomellini",,"24916 | 23190",,,,,,,,,,,fa32b289-5b52-4bce-be5d-547c3dea7404,,,,,,"Taddeo Lomellini q. Oberto q. Battista",,,,,,,,,,
25104,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1479–1504,,"Sorleone Lomellini","24940 | 24109","24202 | 24146",,23439,,,,,,,,,72d841ed-5d5b-4b39-adff-6b221e8a6475,,,,,,"Sorleone Lomellini q. Cattaneo q. Sorleone",,,,,,,,,,
25102,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Sorleone Lomellini","24157 | 24202 | 24440","24166 | 23821",,25330,,,,,,,,,7b909895-ccc0-44b3-b3f8-16155d7feabb,,,,,,"Sorleone Lomellini q. Carlo q. Napoleone",,,,,,,,,,
25064,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1350–1383,,"Selvagia Lomellini",,"24674 | 25670",,"23204 | 23316",,,,,,,,,a4b58e22-93e0-418d-8c2f-ee571d4bf23a,,,,,,"Selvagia Lomellini q. Lodisio q. Riccardo",,,,,,,,,,
25047,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1516,,"Raffaele Lomellini",,"24534 | 23206",,,,,,,,,,,13df1438-10dc-417e-91c6-0574783e7b9e,,,,,,"Raffaele Lomellini q. Giovanni q. Benedetto",,,,,,,,,,
25001,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1460,,"Percivale Lomellini",24148,"24837 | 23211",,,,,,,,,,,8d496046-8aa1-4512-9039-b0edbac3c414,,,,,,"Percivale Lomellini q. Martino q. Franco",,,,,,,,,,
24984,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1444,,"Pellegra Lomellini",,"24916 | 23190",,,,,,,,,,,e4c2d251-d265-4628-8dea-94feaa838368,,,,,,"Pellegra Lomellini q. Oberto q. Battista",,,,,,,,,,
24983,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1472,,"Pellegra Lomellini",,"24202 | 24146",,25383,,,,,,,,,cd59bec4-5e26-447b-88f8-724cd5fd400f,,,,,,"Pellegra Lomellini q. Cattaneo q. Sorleone",,,,,,,,,,
24982,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1525,,"Pellegra Lomellini",,"24878 | 23242",,23198,,,,,,,,,668e325d-7519-4e9d-a552-a2c40aadddc4,,,,,,"Pellegra Lomellini q. Niccolò q. Filippo",,,,,,,,,,
24976,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1495–1532,,"Pellegra Lomellini",24699,"24651 | 23220",,"24698 | 25618",,,,,,,,,36efda92-18c3-45b3-9a3b-68e9f87b2d16,,,,,,"Pellegra Lomellini q. Lazzaro q. Egidio",,,,,,,,,,
24952,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1446–1491,,"Ottobone Lomellini","24068 | 24372","24371 | 23191",,25800,,,,,,,,,169f172e-fb7c-40d4-aa7e-77751f6dd0d4,,,,"Ottobono Lomellini",,"Ottobono Lomellini q. Franco q. Franco",,,,,,,,,,
24940,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1498–1506,,"Orietta Lomellini",,"25104 | 23439",,23349,,,,,,,,,76b9d3a7-d9d4-40f1-be5d-11a58e85c318,,,,,,"Orietta Lomellini q. Sorleone q. Cattaneo",,,,,,,,,,
24936,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1495,,"Orietta Lomellini",,"24651 | 23220",,,,,,,,,,,f5e41897-1821-4e08-8fbb-7d4798f6d8ba,,,,,,"Orietta Lomellini q. Lazzaro q. Egidio",,,,,,,,,,
24916,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1412–1452,,"Oberto Lomellini","24154 | 25123 | 24701 | 23990 | 24641 | 24554 | 24984 | 24192 | 24038 | 24017 | 24216","24074 | 23407",,23190,,,,,,,,,b7348bab-5c1e-40cf-b5a1-39f8ef5dbebe,,,,,,"Oberto Lomellini q. Battista q. Napoleone",,,,,,,,,,
24894,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1568–1592,,"Niccolò Lomellini",24592,"25203 | 23203",,23634,,,,,,,,,ec350a11-882e-4ffe-8058-af0067fad526,,,,,,"Niccolò Lomellini q. Vincenzo q. Girolamo",,,,,,,,,,
24864,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1444–1509,,"Napoletano Lomellini","24294 | 24201 | 25208","25204 | 23610",,"23660 | 23285",,,,,,,,,3709e0bf-b2f6-4ed1-8716-fbd3f4ac0d2c,,,,,,"Napoletano Lomellini q. Vincenzo q. Giorgio",,,,,,,,,,
24853,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1312,,"Moisia Lomellini",,24428,,23219,,,,,,,,,1bf71f6e-2276-446c-ac0a-9497ca5675ab,,,,,,"Moisia Lomellini q. Giacomo q. Simone",,,,,,,,,,
24852,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1557–1572,,"Minetta Lomellini",,"24267 | 23271",,23196,,,,,,,,,5dd95f6d-7d22-4000-885f-541e8afccf1e,,,,,,"Minetta Lomellini q. Domenico",,,,,,,,,,
24846,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Melchiorre Lomellini",,24200,,,,,,,,,,,567ad44c-64a9-4a1b-9b15-4489e058a51a,,,,"Melchior Lomellini",,"Melchiorre Lomellini q. Cattaneo q. Angelo",,,,,,,,,,
24842,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1498,,"Matteo Lomellini","24810 | 24288","24202 | 24146",,23623,,,,,,,,,b3419592-1402-42ed-a08c-a6365707cac7,,,,,,"Matteo Lomellini q. Cattaneo q. Sorleone",,,,,,,,,,
24837,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1410–1421,,"Martino Lomellini","25001 | 24301 | 24350 | 25149",24370,,23211,,,,,,,,,68c3b92d-0c6d-4142-b07f-f1da51204c7b,,,,,,"Martino Lomellini q. Franco q. Napoleone",,,,,,,,,,
24835,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1516,,"Martino Lomellini",24565,"24534 | 23206",,25536,,,,,,,,,203b7eb3-503c-40ce-9a31-fdf7bd1d1319,,,,,,"Martino Lomellini q. Giovanni q. Benedetto",,,,,,,,,,
24820,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1479–1490,,"Maria Lomellini",,"24420 | 23616",,23195,,,,,,,,,6c07944a-c835-4f6e-9fe5-4fb7315c6284,,,,,,"Maria Lomellini q. Giacomo q. Tobia",,,,,,,,,,
24816,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1485–1495,,"Maria Lomellini",,"24132 | 23541",,23188,,,,,,,,,cc2359b7-6cb5-490e-842c-ffc0e318f45e,,,,,,"Maria Lomellini q. Bonifacio q. Antoniotto",,,,,,,,,,
24810,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1532–1539,,"Maria Lomellini",,"24842 | 23623",,24492,,,,,,,,,084450bb-8f90-4a3e-9c0f-fce8fe02dd5e,,,,,,"Maria Lomellini q. Matteo q. Cattaneo",,,,,,,,,,
24780,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1420–1487,,"Maria Lomellini",25644,"23918 | 23216",,25696,,,,,,,,,39b2b41e-0803-4985-83f2-089d7df03b50,,,,,,"Maria Lomellini q. Andalò q. Antoniotto",,,,,,,,,,
24724,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1518–1562,,"Luigia Lomellini",,"24220 | 24774",,24201,,,,,,,,,4c6b89ab-e546-4606-bb42-783ad9aaef1e,,,,,,"Luigia Lomellini q. Cipriano",,,,,,,,,,
24701,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1451,,"Luchino Lomellini",,"24916 | 23190",,,,,,,,,,,ac1a2f88-002b-44a0-b48b-6454b7a9487d,,,,"Lucchino Lomellini",,"Luchino Lomellini q. Oberto  q. Battista",,,,,,,,,,
24651,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1473–1495,,"Lazzaro Lomellini","24976 | 24510 | 24033 | 24936 | 24179","24274 | 25639",,23220,,,,,,,,,67aec133-e8f8-4838-a2a2-a4e17d709a8c,,,,,,"Lazzaro Lomellini q. Egidio q. Gregorio",,,,,,,,,,
24641,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1450–1499,,"Isabella Lomellini",27753,"24916 | 23190",,23261,,,,,,,,,9df10f42-18c5-4b7c-8495-19af347d39a6,,,,,,"Isabella Lomellini q. Oberto q. Battista",,,,,,,,,,
24593,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1598,,"Giulia Lomellini",,"24561 | 23433",,23199,,,,,,,,,90c089d1-791a-46be-acd5-41bc8d1301b3,,,,,,"Giulia Lomellini q. Girolamo q. Agostino",,,,,,,,,,
24586,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1495–1510,,"Gironima Lomellini",,"24892 | 23377",,"25628 | 23214",,,,,,,,,4364d55b-99d6-4b5b-a9d7-f1dd97f4cd4c,,,,,,"Gironima Lomellini q. Niccolò q. Domenico",,,,,,,,,,
24584,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1498–1528,,"Gironima Lomellini",,"24494 | 25370",,23389,,,,,,,,,aae5bd59-ed04-46c4-8aec-44c85b6d820e,,,,,,"Gironima Lomellini q. Giovanni Battista q. Cattaneo",,,,,,,,,,
