o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:description,dcterms:publisher,dcterms:date,dcterms:type,dcterms:identifier,dcterms:language,dcterms:rights,dcterms:alternative,dcterms:isReplacedBy,dcterms:replaces,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:rightsHolder,bibo:cites,bibo:editor,bibo:edition,bibo:identifier,bibo:isbn,bibo:issn,bibo:pageEnd,bibo:pageStart,bibo:shortDescription,bibo:shortTitle,bibo:volume,scripto:transcription,cidoc-crm:P7_took_place_at,cidoc-crm:P53_has_former_or_current_location,cidoc-crm:P48_has_preferred_identifier,cidoc-crm:P107_has_current_or_former_member,cidoc-crm:P14_carried_out_by,cidoc-crm:P12_occurred_in_the_presence_of,cidoc-crm:P104i_applies_to,cidoc-crm:P30_transferred_custody_of,cidoc-crm:P11_had_participant,cidoc-crm:P138_represents,cidoc-crm:P51_has_former_or_current_owner,cidoc-crm:P67_refers_to,cidoc-crm:P1_is_identified_by,cidoc-crm:P167_was_at,cidoc-crm:P29_custody_received_by,cidoc-crm:P19_was_intended_use_of,cidoc-crm:P139_has_alternative_form,cidoc-crm:P22_transferred_title_to,cidoc-crm:P92i_was_brought_into_existence_by,cidoc-crm:P131_is_identified_by,cidoc-crm:P102_has_title,cidoc-crm:P8_took_place_on_or_within,cidoc-crm:P8i_witnessed,cidoc-crm:P7i_witnessed,cidoc-crm:P2_has_type,cidoc-crm:P50_has_current_keeper,cidoc-crm:P23_transferred_title_from,cidoc-crm:P129_is_about,cidoc-crm:P159_occupied,cidoc-crm:P69_has_association_with,cidoc-crm:P168_place_is_defined_by,cidoc-crm:P3_has_note,cidoc-crm:P167_was_within,cidoc-crm:P175i_starts_after_or_with_the_start_of,cidoc-crm:P184_ends_before_or_with_the_end_of,skos:inScheme,skos:hasTopConcept,skos:topConceptOf,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,skos:note,skos:definition,skos:scopeNote,skos:semanticRelation,skos:broader,skos:narrower,skos:related,skos:exactMatch,skos:closeMatch,fabio:hasPageCount,fabio:hasPlaceOfPublication,fabio:hasPublicationYear,fabio:hasSequenceIdentifier,schema:endDate,schema:gender,schema:mentions,schema:loanTerm,schema:hasOccupation,schema:startDate,schema:dateCreated,schema:sponsor,schema:numberOfItems,schema:nationality,schema:leaseLength,schema:spouse,schema:additionalName,schema:alternateName,schema:agent,schema:children,cidoc:P1_is_identified_by,cidoc:P2_has_type,cidoc:P3_has_note,cidoc:P7_took_place_at,cidoc:P11_had_participant,cidoc:P12_occurred_in_the_presence_of,cidoc:P22_transferred_title_to,cidoc:P23_transferred_title_from,cidoc:P24_transferred_title_of,cidoc:P29_custody_received_by,cidoc:P30_transferred_custody_of,cidoc:P44_has_condition,cidoc:P48_has_preferred_identifier,cidoc:P49_has_former_or_current_keeper,cidoc:P51_has_former_or_current_owner,cidoc:P53_has_former_or_current_location,cidoc:P67_refers_to,cidoc:P72_has_language,cidoc:P92i_was_brought_into_existence_by,cidoc:P102_has_title,cidoc:P105_right_held_by,cidoc:P106i_forms_part_of,cidoc:P140i_was_attributed_by,cidoc:P152_has_parent,cidoc:P190_has_symbolic_content
26267,http://www.genoesemerchantnetworks.com/s/main/item/26267,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,iuponerius,,"A person named as a ""iuponerius"" is someone who works as a coat-maker, or more specifically, a doublet maker.",,,,84d988bb-2102-425d-bae8-f863d6d48037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26330,http://www.genoesemerchantnetworks.com/s/main/item/26330,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,mersarius,,"A person named as a ""mersarius"" is someone who works as a mercer or haberdasher.",,,,3e79de34-1118-4dc6-a1ec-2b839a761b72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26333,http://www.genoesemerchantnetworks.com/s/main/item/26333,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,barberius,,"A person named as a ""barberius"" is someone who works as a barber.",,,,6558461e-685c-46de-a063-6a6913ecd69b,,,barberio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26338,http://www.genoesemerchantnetworks.com/s/main/item/26338,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,canabacerius,,"A person named as a ""canabacerius"" is someone who worked as a rope-maker.",,,,d8393e5c-7459-43c6-acb7-d6ed5be767dc,,,canabacerio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26345,http://www.genoesemerchantnetworks.com/s/main/item/26345,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,seatarius,,"A person named as a ""seatarius"" is someone who works as a silk merchant, usually with their own workshop.",,,,288ebf41-78f3-464f-bab4-d736b3e8a002,,,"seatario | seaterius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26437,http://www.genoesemerchantnetworks.com/s/main/item/26437,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,tabernarius,,"A person named as a ""tabernarius"" is someone who works as an inn-keeper.",,,,a1f0e8cb-6592-4e8f-a424-68e80571f591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27518,http://www.genoesemerchantnetworks.com/s/main/item/27518,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,"filator septe",,"A person named as a ""filator septe"" is someone who works as a silk spinner.",,,,c1c22f51-bb07-4df1-9959-ab11fc9eb48e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27519,http://www.genoesemerchantnetworks.com/s/main/item/27519,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,cultelerius,,"A person named as a ""cultelerius"" is someone who works as a cutler.",,,,47724611-ad31-4c24-b7e4-5b3aaccc18d2,,,"cultellinerius | coltellero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27520,http://www.genoesemerchantnetworks.com/s/main/item/27520,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,sartor,,"A person named as a  ""sartor"" is someone who works as a tailor.",,,,d223f3d0-c4ff-4d46-89be-a180df2322b3,,,saltor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27521,http://www.genoesemerchantnetworks.com/s/main/item/27521,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,abbas/abbatissa,,"A person named as an ""abbas"" or an ""abbatissaa"" is someone who works as the abbot or abbess of a monastery, generally the monk or nun elected as the superior person of the monastery.",,,,0ce2bf66-65a1-44f1-82ce-671dd8ad3f22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27526,http://www.genoesemerchantnetworks.com/s/main/item/27526,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,"gramatice professor",,"A person named as a ""gramatice professor"" is someone who is a teacher of Latin grammar.",,,,527c09fe-f007-4a05-8fc2-2e20246c3acc,,,"magister scholarum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27529,http://www.genoesemerchantnetworks.com/s/main/item/27529,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,coirasarius,,"A person named as a ""coirasarius"" is someone who works as an armorer or armor-maker.",,,,ba687eed-0db9-49c7-b09d-e06bc1131457,,,"coyrasarius | coiasarius | coiraserius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27531,http://www.genoesemerchantnetworks.com/s/main/item/27531,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,"legum doctor",,"A person named as a ""legum doctor"" is someone who works as a lawyer. The term ""doctor in utroque"" is also common.",,,,80a35fdd-c399-43b9-8bef-83fa947507d9,,,"doctor in utroque | iuris utriusque doctoris | legum scholaris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27532,http://www.genoesemerchantnetworks.com/s/main/item/27532,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,"revenditor raubarum",,"A person named as a ""revenditor raubarum"" is someone who resells clothing.",,,,57e4fa95-ee5c-42d1-9f17-f5b8458e31b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27536,http://www.genoesemerchantnetworks.com/s/main/item/27536,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,calafatus,,"A person named as a ""calafatus"" is someone who works as a caulker, usually in the shipbuilding industry.",,,,1d241c43-f987-4726-920c-452fc910ca14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27537,http://www.genoesemerchantnetworks.com/s/main/item/27537,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,casanerius,,"A person named as a ""casanerius"" is someone who works as a pawnbroker.",,,,00b2b9b0-5840-475e-8412-0e62c1ce6321,,,cazanerius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27549,http://www.genoesemerchantnetworks.com/s/main/item/27549,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,battifolius,,"A person named ""battifolius"" is someone who works as a metal beater, usuallly in gold or silver.",,,,7cd8282c-3971-4605-9292-baead418a59e,,,battifoglio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27554,http://www.genoesemerchantnetworks.com/s/main/item/27554,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,callegarius,,"A person named as a ""callegarius"" is someone who works as a bootmaker.",,,,dd9e4375-27d8-44c4-9e3f-90993a6570de,,,calegarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://vocab.getty.edu/aat/300025294 shoemakers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27560,http://www.genoesemerchantnetworks.com/s/main/item/27560,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,"magister cammocatorum",,"A person named as a ""magister cammocatorum"" is someone who works as a linen or silk merchant.",,,,ed5f33fa-7e14-465b-a868-c259c3413710,,,camocatorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27564,http://www.genoesemerchantnetworks.com/s/main/item/27564,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,faber,,"A person named as a ""faber"" is someone who works as a blacksmith.",,,,ec525adf-6b83-4a8b-a72f-fae804dc80a6,,,fabbro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27565,http://www.genoesemerchantnetworks.com/s/main/item/27565,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,speciarius,,"A person named as a ""speciarius"" is someone who works as an apothecary.",,,,c4e1d0ef-a017-4347-a634-56fc42d344d0,,,speziale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27574,http://www.genoesemerchantnetworks.com/s/main/item/27574,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,"tinctor septe",,"A person named as a ""tinctor septe"" is someone who works as a silk-dyer.",,,,e89f9f94-2f08-4943-9ffb-1bc651b2e45e,,,"tintor septe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27575,http://www.genoesemerchantnetworks.com/s/main/item/27575,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,monaca,,"A person named as a ""monaca"" is a woman who serves as a nun in a female monastery.",,,,d0c3906d-32d4-46b2-a480-279915d011be,,,"monaca | soror",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://vocab.getty.edu/aat/300025770 nuns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27576,http://www.genoesemerchantnetworks.com/s/main/item/27576,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,confector,,"A person named as a ""confector"" is someone who works as tanner.",,,,4bf0e813-21ff-469c-839d-66d1f2ff8864,,,confettore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27582,http://www.genoesemerchantnetworks.com/s/main/item/27582,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,paterius,,"A person named as a ""paterius"" is someone who works as a cloth merchant.",,,,3da5584c-9f47-4c8e-b8f5-0231f2744249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"See Rossi, Glossario medioevale ligure, p. 74.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27589,http://www.genoesemerchantnetworks.com/s/main/item/27589,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,"textor pannorum septe",,"A ""textor pannorum septe"" is a person who works as a silk-weaver.",,,,5bb6a45d-3588-40a9-a845-327f8655861e,,,"textor pannorum siricorum | textor sericorum | tessitore di panni di seta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27596,http://www.genoesemerchantnetworks.com/s/main/item/27596,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,"doctor arte et medicine",,"A person named as a ""doctor arte et medicine"" is someone who works as a physician, that is, a doctor of medicine.",,,,bfb6993f-7f7d-4c7a-8861-8c4c3ba61372,,,"medicine doctor | doctor artium et medicine | phisicus | fixici | phixico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27622,http://www.genoesemerchantnetworks.com/s/main/item/27622,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,bambaxarius,,"A person named as a ""bambaxarius"" is someone who works as a cotton weaver.",,,,57947666-0de6-4383-809f-0c441dd928b8,,,"bambarius | bombyzinum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
